,artist,title
0,Taylor Swift,Anti-Hero
1,Drake,Rich Flex
2,Sam Smith,Unholy (feat. Kim Petras)
3,Steve Lacy,Bad Habit
4,Harry Styles,As It Was
5,Drake,Major Distribution
6,David Guetta,I'm Good (Blue)
7,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By
8,Drake,Spin Bout U
9,Drake,On BS
10,Nicki Minaj,Super Freaky Girl
11,The Weeknd,Die For You
12,Morgan Wallen,You Proof
13,Drake,Circo Loco
14,Drake,Pussy & Millions (feat. Travis Scott)
15,Post Malone,I Like You (A Happier Song) (with Doja Cat)
16,Chris Brown,Under The Influence
17,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)
18,Zach Bryan,Something in the Orange
19,Beyoncé,CUFF IT
20,Taylor Swift,Lavender Haze
21,Drake,Privileged Rappers
22,Morgan Wallen,Wasted On You
23,OneRepublic,I Ain't Worried
24,Mariah Carey,All I Want for Christmas Is You
25,Drake,BackOutsideBoyz
26,Drake,Jimmy Cooks (feat. 21 Savage)
27,Nicky Youre,Sunroof
28,GloRilla,Tomorrow 2 (with Cardi B)
29,Future,WAIT FOR U (feat. Drake & Tems)
30,Cole Swindell,She Had Me At Heads Carolina
31,Bad Bunny,Tití Me Preguntó
32,Taylor Swift,Midnight Rain
33,Drake,Broke Boys
34,Taylor Swift,Bejeweled
35,Luke Combs,The Kind of Love We Make
36,Drake,Hours In Silence
37,Lizzo,About Damn Time
38,Taylor Swift,Maroon
39,Meghan Trainor,Made You Look
40,Brenda Lee,Rockin' Around The Christmas Tree
41,JVKE,golden hour
42,Kane Brown,Thank God
43,Sia,Unstoppable
44,Taylor Swift,Karma
45,Elton John,Hold Me Closer
46,Lil Uzi Vert,Just Wanna Rock
47,Taylor Swift,"You're On Your Own, Kid"
48,Taylor Swift,Snow On The Beach (feat. Lana Del Rey)
49,Bobby Helms,Jingle Bell Rock
50,HARDY,wait in the truck (feat. Lainey Wilson)
51,Drake,Jumbotron Shit Poppin
52,Thomas Rhett,Half Of Me
53,Bailey Zimmerman,Fall In Love
54,SZA,Shirt
55,Stephen Sanchez,Until I Found You
56,Bailey Zimmerman,Rock and A Hard Place
57,Drake,Treacherous Twins
58,Quavo,HOTEL LOBBY (Unc & Phew)
59,Jordan Davis,What My World Spins Around
60,Jax,Victoria's Secret
61,Taylor Swift,Vigilante Shit
62,Jelly Roll,Son Of A Sinner
63,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem)
64,Taylor Swift,Question...?
65,Jackson Dean,Don't Come Lookin'
66,Drake,Middle of the Ocean
67,d4vd,Romantic Homicide
68,Drake,More M’s
69,Taylor Swift,Mastermind
70,Armani White,BILLIE EILISH.
71,Joji,Die For You
72,Taylor Swift,Labyrinth
73,Nate Smith,Whiskey On You
74,Tems,Free Mind
75,Lil Baby,California Breeze
76,Taylor Swift,Sweet Nothing
77,Lil Baby,Heyy
78,Grupo Frontera,No Se Va - En Vivo
79,Taylor Swift,"Would've, Could've, Should've"
80,Drake,I Guess It’s Fuck Me
81,Rema,Calm Down (with Selena Gomez)
82,Brent Faiyaz,ALL MINE
83,Lil Baby,Freestyle
84,Luke Bryan,Country On
85,Lainey Wilson,Heart Like A Truck
86,Oliver Tree,Miss You
87,Ingrid Andress,Wishful Drinking (with Sam Hunt)
88,Harry Styles,Music For a Sushi Restaurant
89,Gabby Barrett,Pick Me Up
90,Rod Wave,Break My Heart
91,Manuel Turizo,La Bachata
92,Lil Baby,Forever (feat. Fridayy)
93,Burna Boy,Last Last
94,Drake,3AM on Glenwood
95,Taylor Swift,The Great War
96,Diddy,Gotta Move On (feat. Bryson Tiller)
97,Lewis Capaldi,Forget Me
98,Luke Combs,"Going, Going, Gone"
99,Taylor Swift,Bigger Than The Whole Sky
