,artist,title,mood
0,OneRepublic,I Ain't Worried,happy
1,Harry Styles,As It Was,happy
2,Rosa Linn,SNAP,happy
3,Meghan Trainor,Made You Look,happy
4,Ruth B.,Dandelions,happy
5,Nicky Youre,Sunroof,happy
6,Post Malone,I Like You (A Happier Song) (with Doja Cat),happy
7,Taylor Swift,Karma,happy
8,Harry Styles,Late Night Talking,happy
9,Stephen Sanchez,Until I Found You,happy
10,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),happy
11,The Kid LAROI,STAY (with Justin Bieber),happy
12,Elton John,Hold Me Closer,happy
13,Lost Frequencies,Where Are You Now,happy
14,Glass Animals,Heat Waves,happy
15,Lizzo,About Damn Time,happy
16,Ed Sheeran,Shivers,happy
17,Harry Styles,Watermelon Sugar,happy
18,Marshmello,Numb,happy
19,Lil Nas X,THATS WHAT I WANT,happy
20,Camila Cabello,Bam Bam (feat. Ed Sheeran),happy
21,Elton John,Cold Heart - PNAU Remix,happy
22,Ed Sheeran,Celestial,happy
23,Lizzo,2 Be Loved (Am I Ready),happy
24,Coldplay,My Universe,happy
25,Marshmello,Leave Before You Love Me (with Jonas Brothers),happy
26,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),happy
27,OneRepublic,Sunshine,happy
28,BØRNS,Electric Love,happy
29,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),happy
30,Charlie Puth,Light Switch,happy
31,Shawn Mendes,Summer of Love (Shawn Mendes & Tainy),happy
32,Jax,Victoria's Secret,happy
33,THE ANXIETY,Meet Me At Our Spot,happy
34,Alesso,When I’m Gone (with Katy Perry),happy
35,Kygo,Woke Up in Love,happy
36,Hailee Steinfeld,Coast (feat. Anderson .Paak),happy
37,AJR,World's Smallest Violin,happy
38,Em Beihold,Numb Little Bug,happy
39,Dua Lipa,Levitating (feat. DaBaby),happy
40,PUBLIC,Make You Mine,happy
41,BANNERS,Someone To You,happy
42,P!nk,Never Gonna Not Dance Again,happy
43,Tai Verdes,A-O-K,happy
44,Ritt Momney,Put Your Records On,happy
45,Khalid,Skyline,happy
46,MAX,Butterflies,happy
47,Justin Bieber,Anyone,happy
48,Maroon 5,Lost,happy
49,Kane Brown,Be Like That - feat. Swae Lee & Khalid,happy
50,Peach Tree Rascals,Mariposa,happy
51,Adele,Can I Get It,happy
52,Marshmello,OK Not To Be OK,happy
53,George Ezra,Green Green Grass,happy
54,FINNEAS,Let's Fall in Love for the Night,happy
55,Niall Horan,Black And White,happy
56,Meghan Trainor,Don't I Make It Look Easy,happy
57,LANY,dancing in the kitchen,happy
58,Maren Morris,The Bones - with Hozier,happy
59,Tones And I,Fly Away,happy
60,John Legend,Wonder Woman,happy
61,Nelly,Lil Bit,happy
62,Bazzi,I Like That,happy
63,Surfaces,Wave of You,happy
64,Dan + Shay,Glad You Exist,happy
65,MisterWives,SUPERBLOOM,happy
66,Vance Joy,Clarity,happy
67,MAX,Blueberry Eyes (feat. SUGA of BTS),happy
68,Tones And I,Cloudy Day,happy
69,Dua Lipa,Love Again,happy
70,Surfaces,Sheesh!,happy
71,Tai Verdes,Let's go to Hell,happy
72,The Lumineers,WHERE WE ARE,happy
73,Tom Grennan,Little Bit of Love,happy
74,Andy Grammer,Joy,happy
75,Drax Project,Catching Feelings (feat. SIX60),happy
